i,lid,rc,expansion
0,32.202472662704174,6.253786563873291,1.0775145292282104
1,9.550824375297381,5.635207176208496,1.0647499561309814
2,10.403884972048942,5.598807334899902,1.0675513744354248
3,7.739034918324914,3.828887462615967,1.0440647602081299
4,11.080097699714708,5.626330852508545,1.1187020540237427
5,16.138062179013907,4.569599628448486,1.0875535011291504
6,12.26427824661231,5.4869489669799805,1.1200830936431885
7,14.219384071677958,3.9292523860931396,1.0545992851257324
8,4.061287243373313,4.0162434577941895,1.111816644668579
9,7.850580591852827,4.699359893798828,1.1154954433441162
10,6.580510924647814,6.947804927825928,1.07492995262146
11,13.15511901591536,4.053685665130615,1.0860730409622192
12,6.482112610359613,8.999321937561035,1.0683122873306274
13,7.804632740779761,5.529923915863037,1.1027932167053223
14,7.747556184560636,15.86812686920166,1.1322470903396606
15,11.091368241942774,8.402652740478516,1.0965330600738525
16,4.671994640364813,7.743641376495361,1.1261985301971436
17,8.655985895971911,8.369050979614258,1.1522644758224487
18,5.1057172274647185,6.831499099731445,1.086127758026123
19,16.861948825753853,8.454146385192871,1.0582928657531738
20,10.794910283492674,4.669883728027344,1.0749119520187378
21,10.117712125089664,5.714862823486328,1.064051866531372
22,12.222251686120124,4.52577018737793,1.0531679391860962
23,9.528947548323364,9.276822090148926,1.141239881515503
24,12.220577164150354,5.287648677825928,1.0859490633010864
25,6.363469650543478,8.121182441711426,1.11186945438385
26,8.521114427941557,8.572603225708008,1.0864773988723755
27,12.893826403865074,5.792099952697754,1.0531728267669678
28,8.99989300551602,5.163656234741211,1.0497055053710938
29,18.03296090493622,5.051486492156982,1.1026607751846313
30,8.950922008711064,6.873647212982178,1.12361741065979
31,6.852411878910585,5.673868179321289,1.083545207977295
32,6.019539448714656,7.643496036529541,1.1043437719345093
33,10.876461019233043,10.000467300415039,1.0925509929656982
34,10.040624870105267,6.425460338592529,1.0604966878890991
35,4.841972897453725,4.47891092300415,1.1034706830978394
36,7.734965447995792,6.731645107269287,1.1102733612060547
37,11.669671366905384,4.447157859802246,1.0641611814498901
38,13.07504912281746,6.057153224945068,1.1078864336013794
39,13.802260467148452,4.062777996063232,1.0784951448440552
40,13.38355520642726,4.438566207885742,1.0369282960891724
41,16.558650840891598,4.070969104766846,1.0406230688095093
42,7.311725733962267,9.132502555847168,1.0833505392074585
43,5.683021979866237,9.478476524353027,1.1532034873962402
44,5.70326963635731,5.657868385314941,1.0494940280914307
45,9.769223016208443,7.3234477043151855,1.0606261491775513
46,8.491337747954342,5.354700088500977,1.0443090200424194
47,2.6320267293308404,4.893546104431152,1.041404128074646
48,16.088722521471826,5.822288990020752,1.1083409786224365
49,12.290923786424514,5.054937362670898,1.075209617614746
50,1.63478674974063,5.969700813293457,1.1272437572479248
51,1.7944139718765617,8.687674522399902,1.0658595561981201
52,10.384373117105065,4.306374549865723,1.0487340688705444
53,8.695967771423488,5.090977668762207,1.0602248907089233
54,9.44576225486232,10.14574909210205,1.1791136264801025
55,7.384917782037786,4.630102634429932,1.0836026668548584
56,18.0875150541951,6.501735687255859,1.140845775604248
57,14.596403222118463,10.83212661743164,1.1127409934997559
58,6.317164418460518,7.251665115356445,1.0933113098144531
59,4.851627654944239,4.542022705078125,1.0937223434448242
60,5.389668226614134,5.7868804931640625,1.0968014001846313
61,6.146446382789919,11.29658031463623,1.0807952880859375
62,9.495638937489208,4.496903419494629,1.089168906211853
63,6.041604089775496,7.680323123931885,1.1113638877868652
64,6.080479128219436,4.651523590087891,1.083734154701233
65,10.696433551826091,6.102536678314209,1.0766319036483765
66,4.4781073074125874,28.392730712890625,1.1497186422348022
67,13.484368710576538,9.201321601867676,1.0645272731781006
68,11.695923220234757,7.8361945152282715,1.0878658294677734
69,14.69814121046989,4.041032314300537,1.093243956565857
70,11.036250032815836,4.594899654388428,1.072548508644104
71,5.80697590866186,16.376352310180664,1.173148512840271
72,17.668112926190215,6.084865570068359,1.0523215532302856
73,2.156232778120502,4.897692680358887,1.1078474521636963
74,11.514814790550394,3.4254350662231445,1.0434507131576538
75,6.485177234817905,4.804725646972656,1.072679877281189
76,12.745812756712795,5.954758644104004,1.0593403577804565
77,9.302494347159275,5.158382415771484,1.0637271404266357
78,8.680808757773242,3.99765944480896,1.0824958086013794
79,18.085327756637597,6.258123874664307,1.0685803890228271
80,13.237956789957854,3.914438486099243,1.0436762571334839
81,9.999228233603134,6.537071704864502,1.1334967613220215
82,10.148294607830737,3.869554281234741,1.0683870315551758
83,7.659886126100041,9.906752586364746,1.1139501333236694
84,7.99832119199529,6.091760635375977,1.083722472190857
85,5.43424380806239,9.224968910217285,1.2711124420166016
86,11.873751643382969,9.573003768920898,1.1096147298812866
87,8.323333392866452,6.853727340698242,1.1158955097198486
88,8.847754158650286,6.449127197265625,1.1327694654464722
89,4.101239785311649,5.856071949005127,1.1978720426559448
90,11.707527651713228,3.832792043685913,1.038066029548645
91,4.2631562995964645,8.521300315856934,1.236120343208313
92,12.92887880636096,3.8293209075927734,1.0563238859176636
93,3.6668135383942406,5.276850700378418,1.0654871463775635
94,16.280707697541096,3.6048450469970703,1.0414427518844604
95,11.718481686024399,4.0711846351623535,1.0486607551574707
96,7.663268490775727,5.725375175476074,1.0719037055969238
97,10.19201906154244,4.516453742980957,1.0873439311981201
98,12.875908267407599,4.089017391204834,1.0365310907363892
99,5.536922683476327,9.878213882446289,1.0622211694717407
100,6.768379228270862,4.4708251953125,1.0999630689620972
