i,lid,rc,expansion
0,8.513488492935371,3.358473777770996,1.1010240316390991
1,35.198405528771765,2.441754102706909,1.0247734785079956
2,10.550952899197839,4.59966516494751,1.0914407968521118
3,22.37965012927611,3.921414613723755,1.0613216161727905
4,16.634935881141697,2.1941890716552734,1.059360146522522
5,19.823536735001436,3.5318551063537598,1.1490150690078735
6,21.051057113404955,2.2237958908081055,1.0487697124481201
7,90.70909995858358,2.096379280090332,1.0197842121124268
8,9.90157282898362,3.7319705486297607,1.0747770071029663
9,17.460035116975064,3.3254194259643555,1.038960337638855
10,11.39013054040998,2.6245713233947754,1.1014348268508911
11,28.729451250836746,2.2502923011779785,1.0297622680664062
12,37.57973013162317,2.4503872394561768,1.0462487936019897
13,12.002461244536196,3.4845972061157227,1.0541197061538696
14,24.573239219262074,3.091520071029663,1.036359429359436
15,15.69067391821131,3.796121597290039,1.0442306995391846
16,14.155401444860633,2.1037497520446777,1.0125776529312134
17,50.429058603382245,1.7279554605484009,1.0316561460494995
18,13.165607422017679,2.4728996753692627,1.0558618307113647
19,11.686146344861212,3.5087597370147705,1.0694173574447632
20,20.37632747447071,2.1503703594207764,1.0513134002685547
21,11.256582637563774,2.8751332759857178,1.0348715782165527
22,17.13713318703654,3.901374340057373,1.0445003509521484
23,37.808139891614935,2.025709867477417,1.030304193496704
24,8.832136201141562,4.765368461608887,1.0920995473861694
25,28.35854791450641,2.366678237915039,1.027628779411316
26,20.836946475456127,2.7830076217651367,1.061493158340454
27,9.341562912791673,3.6580235958099365,1.1075657606124878
28,19.30965434712483,2.587505578994751,1.0186233520507812
29,19.645690399053173,2.651686429977417,1.05393385887146
30,25.149793864342602,2.3829903602600098,1.0403302907943726
31,24.420043637329833,2.1496267318725586,1.0443843603134155
32,30.112005618098525,2.399740219116211,1.0234349966049194
33,19.836163377449555,2.1500244140625,1.032923936843872
34,13.538391023359837,2.3793509006500244,1.0427757501602173
35,31.281068939861413,2.9880146980285645,1.031273365020752
36,12.153523058449194,2.2783756256103516,1.0187609195709229
37,12.963585022544633,4.008941173553467,1.028140664100647
38,16.379130175163652,2.9933643341064453,1.0307379961013794
39,25.98502860228445,3.184316873550415,1.0240110158920288
40,18.067296526113623,3.685011386871338,1.1003634929656982
41,14.878831322097675,4.222911834716797,1.1089749336242676
42,23.289317909034935,2.8114192485809326,1.085417628288269
43,34.63692079266735,2.8470304012298584,1.0391826629638672
